CODIGO;NOMBRE;CATEGORIA;SUBCATEGORIA;TONALIDAD;COLORES;FORMATO;AMBIENTE;ESTILO;EMOCION;IMPACTO_VISUAL;TECNICA_VISUAL
1171;Plumas de Luz;Plumas;General;Vibrante;naranja, violeta, turquesa;Horizontal;Infantil/Juvenil;Boho;Alegría;Equilibrado;Ilustrativa
1172;Alas al Viento;Plumas;General;Oscuro;verde, negro;Horizontal;Living;Elegante;Elegancia;Protagonista;Pictórica
1173;Elegancia Pluma;Plumas;General;Frio;gris, blanco;Horizontal;Dormitorio;Minimalista;Calma;Suave;Pictórica
1174;Viento de Libertad;Plumas;General;Dorado;dorado, azul;Horizontal;Hall de Entrada;Elegante;Elegancia;Protagonista;Digital/3D
1175;El Arte de Volar;Plumas;General;Pastel;beige, negro;Vertical;Pasillo;Elegante;Elegancia;Protagonista;Pictórica
1176;El Viaje del Viento;Plumas;General;Madera;naranja, gris;Horizontal;Oficina;Industrial;Energía;Protagonista;Pictórica
1177;Ligereza Infinita;Plumas;General;Dorado;gris, dorado;Horizontal;Living;Elegante;Elegancia;Protagonista;Pictórica
1178;Belleza pop;Personas;Mujer;Vibrante;amarillo, blanco, negro;Horizontal;Hall de Entrada;Moderno;Energía;Protagonista;Collage/Mixta
1179;Triangulo de la suerte;Abstracto;General;Dorado;dorado, negro;Horizontal;Oficina;Elegante;Elegancia;Protagonista;Digital/3D
1180;Misterio en Egipto;Paisajes;Piramides;Oscuro;marron, azul;Horizontal;Living;Moderno;Misterio;Protagonista;Digital/3D
1181;Piramides al Atardecer;Paisajes;Piramides;Calido;beige, amarillo;Horizontal;Oficina;Clásico;Inspiración;Equilibrado;Fotográfica
1182;Mandala del Amor;Abstracto;Mandalas;Vibrante;Celeste, rosa, naranja;Horizontal;Dormitorio;Boho;Armonía;Equilibrado;Ilustrativa
1183;Bicicleta Viajera;Paisajes;Ciudades;Oscuro;blanco, negro;Horizontal;Oficina;Industrial;Libertad;Protagonista;Fotográfica
1186;La Primer Cita;Romantico;Corazon;Calido;rojo, beige;Horizontal;Dormitorio;Boho;Romanticismo;Protagonista;Ilustrativa
1187;Paseo Marino;Animales;Ballena;Frio;azul, amarillo  ;Horizontal;Infantil/Juvenil;Moderno;Inspiración;Protagonista;Digital/3D
1188;Buscando el Sol;Botanica;Flores;Natural;celeste, amarillo;Horizontal;Comedor;Clásico;Alegría;Protagonista;Fotográfica
1189;Salto de Libertad 1;Animales;Ballena;Madera;sepia, gris, beige;Horizontal;Living;Moderno;Libertad;Protagonista;Digital/3D
1190;El Corazon de la Ciudad;Paisajes;Ciudades;Oscuro;violeta, negro;Horizontal;Oficina;Industrial;Misterio;Protagonista;Fotográfica
1191;Retrato Salvaje 1;Animales;Cebras;Vibrante;naranja, celeste, negro;Horizontal;Infantil/Juvenil;Moderno;Energía;Protagonista;Ilustrativa
1192;Reunion en el bosque;Paisajes;Bosque;Vibrante;naranja, amarillo, celeste;Horizontal;Infantil/Juvenil;Moderno;Alegría;Protagonista;Digital/3D
1196;El Jardin de la Calma;Botanica;Flores;Pastel;blanco, amarillo, verde;Horizontal;Baño;Nórdico;Calma;Suave;Ilustrativa
1199;Tarde Parisina;Paisajes;Ciudades;Vibrante;turquesa, magenta;Vertical;Hall de Entrada;Moderno;Alegría;Protagonista;Fotográfica
1200;Soberano;Animales;Felinos;Calido;dorado, turquesa;Vertical;Hall de Entrada;Elegante;Fuerza;Protagonista;Pictórica
1201;Esencia Ancestral;Botanica;Arboles;Vibrante;magenta;Horizontal;Dormitorio;Minimalista;Armonía;Equilibrado;Ilustrativa
1203;Instinto Ancestral;Animales;Elefantes;Oscuro;blanco, negro;Vertical;Hall de Entrada;Moderno;Fuerza;Protagonista;Fotográfica
1204;La Belleza del Silencio 1;Personas;Mujer;Vibrante;beige, rojo, naranja;Horizontal;Hall de Entrada;Moderno;Energía;Protagonista;Collage/Mixta
1205;El Reino de las Cumbres;Frases;General;Natural;blanco, celeste;Horizontal;Oficina;Nórdico;Inspiración;Suave;Collage/Mixta
1206;Guardianes del Horizonte;Paisajes;Bosque;Dorado;dorado, verde, amarillo;Horizontal;Dormitorio;Elegante;Elegancia;Equilibrado;Ilustrativa
1207;Jirafa Intelectual;Animales;Jirafas;Vibrante;amarillo, negro;Vertical;Infantil/Juvenil;Moderno;Alegría;Protagonista;Digital/3D
1208;Amanecer Interestelar;Paisajes;Universo;Oscuro;negro, magenta;Horizontal;Living;Moderno;Misterio;Protagonista;Digital/3D
1209;Delicada Presencia 1;Personas;Mujer;Vibrante;naranja, verde, amarillo;Horizontal;Hall de Entrada;Moderno;Alegría;Protagonista;Pictórica
1210;Puente Nocturno;Paisajes;Ciudades;Oscuro;negro, naranja;Horizontal;Oficina;Industrial;Misterio;Protagonista;Fotográfica
1211;Ejecutivo Salvaje;Animales;Elefantes;Oscuro;blanco, negro;Vertical;Oficina;Moderno;Fuerza;Protagonista;Digital/3D
1212;Fantasia Marina;Animales;Ballena;Oscuro;negro, violeta, azul;Horizontal;Infantil/Juvenil;Moderno;Inspiración;Protagonista;Ilustrativa
1214;Amor Gatuno;Animales;Gatos;Vibrante;Rosa, blanco, negro;Horizontal;Infantil/Juvenil;Moderno;Alegría;Protagonista;Ilustrativa
1216;Crecimiento Infinito 1;Botanica;Arboles;Vibrante;naranja, azul;Vertical;Hall de Entrada;Moderno;Alegría;Protagonista;Ilustrativa
1218;Reflejos Urbanos 1;Paisajes;Ciudades;Oscuro;negro, amarillo ;Horizontal;Oficina;Industrial;Misterio;Protagonista;Fotográfica
1219;Colores de Primavera;Paisajes;Flores;Natural;celeste, rosa, verde;Horizontal;Dormitorio;Nórdico;Calma;Suave;Fotográfica
1220;Nuestra Historia;Romantico;General;Vibrante;magenta, violeta;Horizontal;Dormitorio;Boho;Romanticismo;Protagonista;Pictórica
1222;Corriente Celeste;Abstracto;General;Natural;celeste, blanco;Vertical;Living;Nórdico;Inspiración;Suave;Abstracta
1224;Esencia Retro;Vintage;General;Vibrante;verde, rosa, amarillo;Horizontal;Living;Moderno;Alegría;Protagonista;Fotográfica
1225;Las 4 Estaciones;Paisajes;Arboles;Natural;verde, magenta, azul;Horizontal;Dormitorio;Nórdico;Armonía;Suave;Collage/Mixta
1226;Familia Unida;Animales;Felinos;Natural;amarillo, naranja;Horizontal;Living;Clásico;Fuerza;Suave;Pictórica
1227;Volando al Sur;Animales;Mariposas;Natural;celeste, blanco;Vertical;Dormitorio;Nórdico;Libertad;Suave;Ilustrativa
1229;Bajo el Mismo Cielo;Romantico;General;Oscuro;negro, azul;Horizontal;Dormitorio;Moderno;Romanticismo;Protagonista;Fotográfica
1231;El Árbol Sagrado;Paisajes;Arboles;Natural;verde, beige;Horizontal;Dormitorio;Nórdico;Calma;Suave;Digital/3D
1232;El Árbol del Horizonte;Paisajes;Arboles;Vibrante;celeste, verde;Horizontal;Dormitorio;Moderno;Alegría;Protagonista;Ilustrativa
1238;Mármol Dorado;Abstracto;General;Dorado;dorado, blanco;Horizontal;Living;Elegante;Elegancia;Equilibrado;Abstracta
1239;Isla de la Diversion;Infantiles;General;Vibrante;blanco, magenta, verde;Horizontal;Infantil/Juvenil;Boho;Alegría;Protagonista;Ilustrativa
1240;Fluir 1;Abstracto;General;Calido;verde, marron;Horizontal;Oficina;Moderno;Inspiración;Equilibrado;Abstracta
1241;Punto de Inflexion;Abstracto;General;Oscuro;negro, gris;Horizontal;Hall de Entrada;Elegante;Misterio;Protagonista;Collage/Mixta
1244;Hacia la Luz;Botanica;Arboles;Pastel;gris, naranja;Horizontal;Dormitorio;Minimalista;Calma;Suave;Pictórica
1249;Bodega de Ensueño;Bodegas;General;Madera;marron, violeta, verde;Horizontal;Cocina;Clásico;Armonía;Suave;Fotográfica
1251;Jardín Encantado;Botanica;Flores;Calido;gris, blanco;Horizontal;Dormitorio;Elegante;Elegancia;Equilibrado;Pictórica
1255;Belleza Secreta;Mujer;General;Calido;negro, naranja;Vertical;Hall de Entrada;Moderno;Elegancia;Equilibrado;Pictórica
1256;Alma de Mujer 1;Mujer;General;Pastel;gris, rosa;Vertical;Dormitorio;Minimalista;Calma;Suave;Pictórica
1257;Delicada Presencia 2;Mujer;General;Pastel;gris, rosa;Vertical;Dormitorio;Minimalista;Calma;Suave;Pictórica
1258;Donde Florece el Alma 1;Mujer;General;Pastel;gris, rosa;Vertical;Dormitorio;Minimalista;Calma;Suave;Collage/Mixta
1260;El Arte de Sentir 1;Mujer;General;Oscuro;gris, magenta;Horizontal;Hall de Entrada;Moderno;Misterio;Protagonista;Collage/Mixta
1261;Luz Interior 1;Mujer;General;Vibrante;rosa, naranja, celeste;Horizontal;Hall de Entrada;Moderno;Energía;Protagonista;Collage/Mixta
1262;Elegancia Atemporal 1;Mujer;General;Dorado;dorado, verde ;Vertical;Hall de Entrada;Elegante;Elegancia;Equilibrado;Ilustrativa
1263;Alma Dorada;Mujer;General;Dorado;dorado, verde;Vertical;Hall de Entrada;Elegante;Elegancia;Equilibrado;Ilustrativa
1264;Mujer Eterna 1;Mujer;General;Vibrante;negro, amarillo;Vertical;Hall de Entrada;Elegante;Fuerza;Protagonista;Pictórica
1266;El Lenguaje de la Mirada;Mujer;General;Vibrante;naranja, negro;Vertical;Hall de Entrada;Elegante;Elegancia;Protagonista;Ilustrativa
1267;Siempre Bella;Mujer;General;Pastel;beige, rojo, negro;Vertical;Dormitorio;Boho;Romanticismo;Suave;Collage/Mixta
1268;Primavera Interior 1;Mujer;General;Pastel;rosa, gris;Horizontal;Dormitorio;Minimalista;Calma;Suave;Pictórica
1270;Mujer en Flor;Mujer;General;Vibrante;naranja, verde, rosa;Horizontal;Hall de Entrada;Boho;Alegría;Protagonista;Pictórica
1273;Flores y Silencio;Mujer;General;Dorado;dorado, gris;Horizontal;Hall de Entrada;Elegante;Elegancia;Equilibrado;Pictórica
1274;Elegancia Celestial;Alas;General;Neutro;rosa, beige;Horizontal;Hall de Entrada;Elegante;Libertad;Equilibrado;Digital/3D
1275;Horizonte Alado;Alas;General;Neutro;rosa, naranja;Horizontal;Dormitorio;Moderno;Libertad;Equilibrado;Pictórica
1276;Destino Alado;Alas;General;Metálico;dorado, plateado;Horizontal;Hall de Entrada;Elegante;Libertad;Equilibrado;Pictórica
1277;Fe en el Vuelo;Alas;General;Metálico;dorado, beige;Horizontal;Hall de Entrada;Elegante;Libertad;Equilibrado;Pictórica
1278;Viento y Libertad;Alas;General;Metálico;dorado, plateado;Horizontal;Hall de Entrada;Elegante;Libertad;Equilibrado;Digital/3D
1279;Alas al Amanecer;Alas;General;Pastel;violeta, rosa;Horizontal;Dormitorio;Nórdico;Libertad;Suave;Digital/3D
1280;Volver a Volar;Alas;General;Pastel;rosa, plateado;Vertical;Pasillo;Nórdico;Libertad;Suave;Digital/3D
1281;Alas para Crecer;Alas;General;Metálico;dorado, plateado;Horizontal;Hall de Entrada;Elegante;Libertad;Equilibrado;Digital/3D
1282;Guardianes del Cielo;Alas;General;Metálico;dorado, plateado;Horizontal;Hall de Entrada;Elegante;Libertad;Equilibrado;Pictórica
1283;Alas del Horizonte;Alas;General;Pastel;dorado, violeta;Horizontal;Dormitorio;Elegante;Libertad;Suave;Ilustrativa
1284;El Espíritu del Cielo;Alas;General;Pastel;rosa, blanco;Horizontal;Dormitorio;Nórdico;Libertad;Suave;Digital/3D
1285;Alas de Marfil;Alas;General;Pastel;blanco, plateado;Horizontal;Dormitorio;Nórdico;Libertad;Suave;Ilustrativa
1286;Aura Dorada;Alas;General;Metálico;dorado, amarillo;Horizontal;Hall de Entrada;Elegante;Libertad;Equilibrado;Digital/3D
1287;Corazón Salvaje 1;Animales;Felinos;Cálido;naranja, amarillo;Horizontal;Hall de Entrada;Moderno;Fuerza;Equilibrado;Fotográfica
1288;Noble Instinto;Animales;Felinos;Cálido;amarillo, naranja;Horizontal;Hall de Entrada;Moderno;Fuerza;Equilibrado;Fotográfica
1289;Mirada Real;Animales;Felinos;Frío;violeta, dorado;Horizontal;Hall de Entrada;Elegante;Fuerza;Equilibrado;Fotográfica
1290;Ojos de Fuego;Animales;Felinos;Cálido;verde, dorado;Horizontal;Hall de Entrada;Elegante;Fuerza;Equilibrado;Fotográfica
1291;Legado Salvaje;Animales;Felinos;Blanco y Negro;plateado, gris;Horizontal;Hall de Entrada;Moderno;Fuerza;Equilibrado;Fotográfica
1292;Alma Oculta;Personas;Mujer;Frío;azul, dorado;Horizontal;Hall de Entrada;Elegante;Elegancia;Equilibrado;Pictórica
1293;Más Allá de la Mirada;Personas;Mujer;Vibrante;dorado, amarillo;Horizontal;Hall de Entrada;Elegante;Energía;Protagonista;Pictórica
1294;El Arte de Sentir 2;Personas;Mujer;Vibrante;azul, dorado;Horizontal;Hall de Entrada;Elegante;Energía;Protagonista;Pictórica
1298;Luna Serena 1;Paisajes;Luna;Oscuro;azul, plateado;Vertical;Dormitorio;Moderno;Calma;Protagonista;Pictórica
1299;Silencio Nocturno;Paisajes;Luna;Oscuro;naranja, dorado;Horizontal;Dormitorio;Elegante;Elegancia;Protagonista;Abstracta
1300;Paisaje Lunar;Paisajes;Luna;Frío;azul, naranja;Horizontal;Dormitorio;Moderno;Calma;Equilibrado;Pictórica
1301;Susurros de la Luna;Paisajes;Luna;Cálido;naranja, rojo;Horizontal;Dormitorio;Moderno;Calma;Equilibrado;Pictórica
1302;Bajo un Cielo de Plata;Paisajes;Luna;Oscuro;gris, negro;Horizontal;Dormitorio;Moderno;Misterio;Protagonista;Fotográfica
1303;Noches de Ensueño;Paisajes;Luna;Oscuro;verde, plateado;Vertical;Dormitorio;Moderno;Misterio;Protagonista;Ilustrativa
1304;Cuando la Luna Despierta;Paisajes;Luna;Oscuro;plateado, naranja;Horizontal;Dormitorio;Moderno;Misterio;Protagonista;Fotográfica
1305;El Brillo de la Noche;Paisajes;Luna;Oscuro;naranja, gris;Vertical;Dormitorio;Moderno;Misterio;Protagonista;Ilustrativa
1306;Destino de Luna;Paisajes;Luna;Frío;plateado, azul;Vertical;Dormitorio;Moderno;Calma;Equilibrado;Ilustrativa
1307;Horizonte Plateado;Paisajes;Luna;Frío;azul, violeta;Horizontal;Dormitorio;Moderno;Calma;Equilibrado;Ilustrativa
1308;Luz sobre el Horizonte;Paisajes;Luna;Frío;azul, plateado;Horizontal;Dormitorio;Moderno;Calma;Equilibrado;Pictórica
1309;El Arte de la Noche;Paisajes;Luna;Oscuro;plateado, gris;Horizontal;Dormitorio;Moderno;Misterio;Protagonista;Pictórica
1310;Cielo de Plata 1;Paisajes;Luna;Oscuro;azul, plateado;Vertical;Dormitorio;Moderno;Misterio;Protagonista;Pictórica
1311;Ciclo Lunar;Paisajes;Luna;Metálico;plateado, gris;Horizontal;Dormitorio;Moderno;Calma;Equilibrado;Collage/Mixta
1312;El Jardín de la Luna;Paisajes;Luna;Oscuro;azul, violeta;Horizontal;Dormitorio;Moderno;Misterio;Protagonista;Pictórica
1313;La Danza de la Luna;Paisajes;Luna;Pastel;violeta, rosa;Horizontal;Dormitorio;Nórdico;Calma;Suave;Ilustrativa
1314;Noche;Paisajes;Luna;Oscuro;naranja, marrón;Horizontal;Dormitorio;Moderno;Misterio;Protagonista;Collage/Mixta
1315;La Luna y el Silencio;Paisajes;Luna;Oscuro;azul, violeta;Vertical;Dormitorio;Moderno;Misterio;Protagonista;Pictórica
1316;Sol Dorado;Paisajes;Luna;Metálico;dorado, amarillo;Horizontal;Dormitorio;Elegante;Elegancia;Equilibrado;Collage/Mixta
1317;Reflejos Celestiales;Paisajes;Luna;Oscuro;amarillo, dorado;Horizontal;Dormitorio;Elegante;Misterio;Protagonista;Pictórica
1318;Luna Escarlata;Paisajes;Luna;Oscuro;rojo, naranja;Vertical;Dormitorio;Moderno;Misterio;Protagonista;Fotográfica
1319;Donde Descansa la Luna;Paisajes;Luna;Cálido;naranja, rojo;Horizontal;Dormitorio;Moderno;Calma;Equilibrado;Ilustrativa
1320;Serenidad Lunar 1;Paisajes;Luna;Frío;azul, plateado;Horizontal;Dormitorio;Moderno;Calma;Equilibrado;Ilustrativa
1321;Creciente Dorada;Paisajes;Luna;Metálico;amarillo, verde;Vertical;Dormitorio;Moderno;Calma;Equilibrado;Ilustrativa
1322;El Reino de la Luna;Paisajes;Luna;Frío;verde, naranja;Horizontal;Dormitorio;Moderno;Calma;Equilibrado;Ilustrativa
1325;Cumbres al Atardecer 1;Paisajes;Luna;Cálido;naranja, rojo;Horizontal;Dormitorio;Moderno;Calma;Equilibrado;Pictórica
1326;El Abrazo del Valle;Paisajes;Montañas;Vibrante;naranja, amarillo;Horizontal;Dormitorio;Moderno;Energía;Protagonista;Ilustrativa
1327;Esencia Alpina 1;Paisajes;Montañas;Vibrante;naranja, violeta;Horizontal;Dormitorio;Moderno;Energía;Protagonista;Collage/Mixta
1328;Donde Nace el Silencio 1;Paisajes;Montañas;Metálico;dorado, amarillo;Horizontal;Dormitorio;Elegante;Elegancia;Equilibrado;Collage/Mixta
1329;Cumbres al Atardecer 2;Paisajes;Montañas;Cálido;violeta, naranja;Horizontal;Dormitorio;Moderno;Elegancia;Equilibrado;Fotográfica
1330;Perfil Alpino;Paisajes;Montañas;Frío;gris, plateado;Horizontal;Dormitorio;Moderno;Elegancia;Equilibrado;Ilustrativa
1331;Horizonte Alpino;Paisajes;Montañas;Metálico;naranja, dorado;Horizontal;Dormitorio;Elegante;Elegancia;Equilibrado;Ilustrativa
1332;Sol sobre las Cumbres;Paisajes;Montañas;Metálico;dorado, beige;Vertical;Pasillo;Elegante;Elegancia;Equilibrado;Ilustrativa
1333;Horizonte Escarlata;Paisajes;Montañas;Oscuro;rojo, negro;Horizontal;Dormitorio;Moderno;Misterio;Protagonista;Ilustrativa
1334;Naturaleza Infinita 1;Paisajes;Montañas;Metálico;plateado, dorado;Vertical;Pasillo;Elegante;Elegancia;Equilibrado;Collage/Mixta
1335;Cumbres Eternas;Paisajes;Montañas;Frío;plateado, azul;Horizontal;Dormitorio;Moderno;Elegancia;Equilibrado;Ilustrativa
1336;Horizonte en Capas;Paisajes;Montañas;Cálido;naranja, dorado;Horizontal;Dormitorio;Elegante;Elegancia;Equilibrado;Pictórica
1337;Tierra de Gigantes 1;Paisajes;Montañas;Cálido;gris, naranja;Horizontal;Dormitorio;Moderno;Elegancia;Equilibrado;Collage/Mixta
1338;Entre Cielo y Tierra 1;Paisajes;Montañas;Cálido;naranja, amarillo;Horizontal;Dormitorio;Moderno;Elegancia;Equilibrado;Ilustrativa
1342;El Susurro Natural;Botanica;Hojas;Metálico;dorado, amarillo;Horizontal;Hall de Entrada;Elegante;Elegancia;Equilibrado;Collage/Mixta
1344;Follaje Azul y Dorado;Botanica;Hojas;Metálico;azul, dorado;Horizontal;Hall de Entrada;Elegante;Elegancia;Equilibrado;Collage/Mixta
1345;Jardín Tropical 1;Botanica;Hojas;Metálico;verde, plateado;Vertical;Pasillo;Moderno;Elegancia;Equilibrado;Collage/Mixta
1346;El Abrazo de Otoño;Botanica;Hojas;Cálido;naranja, marrón;Vertical;Hall de Entrada;Moderno;Elegancia;Equilibrado;Collage/Mixta
1347;Hojas en Línea;Botanica;Hojas;Blanco y Negro;plateado, gris;Horizontal;Baño;Nórdico;Armonía;Equilibrado;Ilustrativa
1349;Follaje Tropical;Botanica;Hojas;Vibrante;verde, azul;Horizontal;Hall de Entrada;Moderno;Energía;Protagonista;Ilustrativa
1350;Follaje Azul;Botanica;Hojas;Frío;azul, plateado;Vertical;Hall de Entrada;Moderno;Libertad;Equilibrado;Pictórica
1352;Follaje Dorado 1;Botanica;Hojas;Metálico;amarillo, verde;Horizontal;Hall de Entrada;Elegante;Elegancia;Equilibrado;Pictórica
1353;Geometría Tropical 1;Botanica;Hojas;Cálido;naranja, amarillo;Horizontal;Hall de Entrada;Moderno;Elegancia;Equilibrado;Collage/Mixta
1354;Hojas Eternas;Botanica;Hojas;Frío;verde, azul;Horizontal;Baño;Nórdico;Armonía;Equilibrado;Ilustrativa
1355;Frondas Doradas;Botanica;Hojas;Metálico;dorado, plateado;Horizontal;Hall de Entrada;Elegante;Libertad;Equilibrado;Collage/Mixta
1356;Hojas de Plata;Botanica;Hojas;Vibrante;amarillo, naranja;Horizontal;Hall de Entrada;Moderno;Alegría;Protagonista;Ilustrativa
1357;Monstera Coral;Botanica;Hojas;Cálido;naranja, rosa;Horizontal;Baño;Nórdico;Armonía;Equilibrado;Ilustrativa
1362;Hojas del Alma;Botanica;Hojas;Metálico;dorado, verde;Horizontal;Hall de Entrada;Elegante;Elegancia;Equilibrado;Pictórica
1366;Verde Sagrado;Botanica;Hojas;Pastel;violeta, verde;Horizontal;Living;Nórdico;Calma;Suave;Ilustrativa
1367;Follaje Coral;Botanica;Hojas;Pastel;naranja, plateado;Horizontal;Baño;Nórdico;Armonía;Suave;Collage/Mixta
1368;Hojas Vivas;Botanica;Hojas;Frío;azul, verde;Horizontal;Oficina;Moderno;Elegancia;Equilibrado;Abstracta
1369;Verde Eterno;Botanica;Hojas;Cálido;verde, amarillo;Horizontal;Baño;Nórdico;Armonía;Equilibrado;Collage/Mixta
1370;Naturaleza Verde Eterna;Botanica;Hojas;Pastel;naranja, beige;Horizontal;Baño;Nórdico;Armonía;Suave;Ilustrativa
1371;Eucalipto Sereno;Botanica;Hojas;Neutro;beige, gris;Horizontal;Baño;Nórdico;Armonía;Equilibrado;Ilustrativa
1372;Ramas de Eucalipto;Botanica;Hojas;Pastel;plateado, gris;Vertical;Baño;Nórdico;Armonía;Suave;Ilustrativa
1373;Jardín Dorado 1;Botanica;Hojas;Metálico;naranja, amarillo;Horizontal;Hall de Entrada;Elegante;Elegancia;Equilibrado;Ilustrativa
1374;El Susurro Verde;Botanica;Hojas;Tierra;verde, azul;Horizontal;Baño;Nórdico;Armonía;Equilibrado;Ilustrativa
1375;Eucaliptos en Serie;Botanica;Hojas;Neutro;verde, gris;Horizontal;Baño;Nórdico;Armonía;Equilibrado;Ilustrativa
1376;Verde Puro;Botanica;Hojas;Neutro;verde, beige;Horizontal;Baño;Nórdico;Armonía;Equilibrado;Ilustrativa
1377;Hojas en Filigrana;Botanica;Hojas;Pastel;verde, plateado;Horizontal;Baño;Nórdico;Armonía;Suave;Ilustrativa
1378;Hojas en Reposo;Botanica;Hojas;Metálico;plateado, gris;Horizontal;Baño;Nórdico;Armonía;Equilibrado;Ilustrativa
1379;Sabana Tropical;Botanica;Hojas;Pastel;beige, marrón;Vertical;Infantil/Juvenil;Elegante;Libertad;Suave;Ilustrativa
1381;Verde Sereno;Botanica;Hojas;Pastel;azul, plateado;Horizontal;Baño;Nórdico;Armonía;Suave;Ilustrativa
1382;El Susurro de la Naturaleza;Botanica;Hojas;Metálico;amarillo, beige;Horizontal;Hall de Entrada;Elegante;Elegancia;Equilibrado;Ilustrativa
1383;Hojas de Luz;Botanica;Hojas;Vibrante;rosa, naranja;Horizontal;Hall de Entrada;Moderno;Energía;Protagonista;Collage/Mixta
1384;El Abrazo Natural;Botanica;Hojas;Vibrante;rosa, verde;Horizontal;Living;Moderno;Alegría;Protagonista;Ilustrativa
1386;Monstera Azul;Botanica;Hojas;Frío;azul, amarillo;Horizontal;Hall de Entrada;Elegante;Elegancia;Equilibrado;Pictórica
1388;Hojas Doradas;Botanica;Hojas;Metálico;dorado, plateado;Horizontal;Hall de Entrada;Elegante;Elegancia;Equilibrado;Ilustrativa
1392;Guirnalda de Eucalipto;Botanica;Hojas;Neutro;plateado, gris;Horizontal;Baño;Nórdico;Armonía;Equilibrado;Ilustrativa
1393;Monstera Azul y Oro;Botanica;Hojas;Metálico;plateado, amarillo;Horizontal;Hall de Entrada;Elegante;Elegancia;Equilibrado;Pictórica
1395;Hojas Luminosas;Botanica;Hojas;Oscuro;negro, plateado;Horizontal;Hall de Entrada;Moderno;Misterio;Protagonista;Ilustrativa
1397;Jardín Pastel;Botanica;Hojas;Pastel;blanco, rosa;Horizontal;Baño;Nórdico;Armonía;Suave;Ilustrativa
1398;Geometría Tropical 2;Botanica;Hojas;Tierra;verde, dorado;Horizontal;Hall de Entrada;Elegante;Misterio;Equilibrado;Digital/3D
1399;Triángulo de Neón;Botanica;Hojas;Vibrante;verde, azul;Horizontal;Hall de Entrada;Moderno;Calma;Protagonista;Digital/3D
